S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
41,Excel Development Bank Ltd.,91,350.00,333.00,350.00,17040.00,5789752.70,335.00,15.00 ,                                            ,
42,First Micro Finance Laghubitta Bittiya Sanstha Limited,292,710.00,665.10,708.00,43456.00,30093207.30,670.00,38.00 ,                                            ,
43,Forward Microfinance Laghubitta Bittiya Sanstha Limited,345,2498.00,2362.00,2489.00,11731.00,28849843.90,2410.00,79.00 ,                                            ,
44,Ganapati Laghubitta Bittiya Sanstha Limited,16,1040.40,988.00,1040.00,484.00,496061.00,1024.70,15.30 ,                                            ,
45,Garima Bikas Bank Limited,257,399.80,380.00,396.00,35975.00,14000646.60,379.10,16.90 ,                                            ,
46,Ghalemdi Hydro Limited,128,214.20,202.10,212.20,21261.00,4431709.60,203.00,9.20 ,                                            ,
47,Global IME Bank Limited Debenture 2086/87,4,770.60,770.50,770.60,135.00,104025.00,775.00,-4.40 ,                                             ,
48,Global IME Laghubitta Bittiya Sanstha Ltd.,57,1451.00,1361.00,1405.00,2025.00,2819376.60,1354.00,51.00 ,                                            ,
49,Global IME Samunnat Scheme-1,20,10.00,9.72,9.99,27766.00,274869.40,9.90,0.09 ,                                            ,
50,Goodwill Finance Limited,389,529.00,486.00,528.90,72633.00,36949257.60,497.70,31.20 ,                                            ,
51,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,157,801.00,760.00,795.00,17263.00,13513481.50,760.00,35.00 ,                                            ,
52,Green Development Bank Ltd.,65,248.90,229.00,246.00,12205.00,2896609.00,226.50,19.50 ,                                            ,
53,Green Ventures Limited,998,352.00,316.00,350.00,71751.00,24044266.50,321.00,29.00 ,                                            ,
54,GreenLife Hydropower Limited,114,321.40,301.20,318.00,42033.00,13048360.90,303.00,15.00 ,                                            ,
55,Guheshowori Merchant Bank & Finance Co. Ltd.,196,342.00,321.00,342.00,43437.00,14491935.10,317.00,25.00 ,                                            ,
56,Gurans Laghubitta Bittiya Sanstha Limited,21,1020.00,990.00,1008.00,818.00,820828.90,990.00,18.00 ,                                            ,
57,Gurkhas Finance Ltd.,463,542.00,506.10,542.00,77567.00,40678865.80,509.90,32.10 ,                                            ,
58,Himal Dolakha Hydropower Company Limited,271,207.00,197.00,207.00,54078.00,10955099.50,196.00,11.00 ,                                            ,
59,Himalaya Urja Bikas Company Limited,76,240.60,231.10,240.60,9329.00,2208920.30,230.00,10.60 ,                                            ,
60,Himalayan Bank Limited,92,312.00,300.30,306.00,5935.00,1812769.00,304.10,1.90 ,                                            ,
